Zeit;Kanal A
(ms);(mV)

-25,00944350;-1,30290300
-25,00444350;-1,11651100
-24,99944350;-0,74434050
-24,99444350;-0,55794780
-24,98944350;-0,55794780
-24,98444350;0,37217020
-24,97944350;-0,18577760
-24,97444350;0,37217020
-24,96944350;0,18577760
-24,96444350;0,37217020
-24,95944350;0,55794780
-24,95444350;-0,37217020
-24,94944350;-0,18577760
-24,94444350;-0,74434050
-24,93944350;-1,48868100
-24,93444350;-2,60580700
-24,92944350;-3,35014700
-24,92444350;-4,09510300
-24,91944350;-5,58439900
-24,91444350;-6,51513300
-24,90944350;-7,25947300
-24,90444350;-8,19020700
-24,89944350;-8,00442800
-24,89444350;-8,00442800
-24,88944350;-8,37659800
-24,88444350;-6,88730300
-24,87944350;-6,32874000
-24,87444350;-5,02583600
-24,86944350;-4,09510300
-24,86444350;-2,79220000
-24,85944350;-2,04724400
-24,85444350;-1,11651100
-24,84944350;-0,74434050
-24,84444350;-0,37217020
-24,83944350;0,00000000
-24,83444350;-0,74434050
-24,82944350;-1,11651100
-24,82444350;-2,60580700
-24,81944350;-2,79220000
-24,81444350;-2,79220000
-24,80944350;-3,53654000
-24,80444350;-4,09510300
-24,79944350;-3,72293300
-24,79444350;-3,35014700
-24,78944350;-2,23363700
-24,78444350;-1,67507400
-24,77944350;-0,37217020
-24,77444350;0,00000000
-24,76944350;1,30290300
-24,76444350;2,23363700
-24,75944350;2,97797700
-24,75444350;3,53654000
-24,74944350;3,90871000
-24,74444350;4,28149600
-24,73944350;3,90871000
-24,73444350;3,35014700
-24,72944350;2,41941400
-24,72444350;0,55794780
-24,71944350;-0,55794780
-24,71444350;-1,48868100
-24,70944350;-2,60580700
-24,70444350;-3,72293300
-24,69944350;-5,02583600
-24,69444350;-5,58439900
-24,68944350;-6,70091000
-24,68444350;-6,32874000
-24,67944350;-6,70091000
-24,67444350;-6,70091000
-24,66944350;-6,88730300
-24,66444350;-5,77017700
-24,65944350;-5,21222900
-24,65444351;-5,02583600
-24,64944351;-4,65366600
